open,high,low,volume,amount,close
38.75,39.450001,38.549999,41296620,38.503475,39.349998
39.5,39.900002,39.150002,35479922,38.650249,39.5
39.5,41.049999,39.25,52245056,39.87336,40.75
41.25,41.400002,40.150002,46056603,39.384117,40.25
40.099998,40.450001,39.549999,40950927,39.28627,40.150002
40.049999,40.450001,39.650002,30984077,38.894875,39.75
39.799999,40.200001,39.099998,34881495,38.552402,39.400002
39.25,39.400002,37.900002,47068060,37.182522,38
37.5,37.650002,35.950001,55096010,35.959412,36.75
36.900002,37.599998,36.599998,60527831,36.155109,36.950001
37.25,38,37,37841483,36.644352,37.450001
37.75,38.25,37.599998,35679028,37.182522,38
38,38.150002,36.25,57414841,36.057259,36.849998
36.799999,37.349998,36.25,42555204,36.448654,37.25
37.349998,37.599998,37.099998,34060388,36.497578,37.299999
37.400002,37.5,37,32102072,36.350807,37.150002
37,37.400002,36.549999,69851127,36.350807,37.150002
37.25,37.599998,37.049999,31412356,36.497578,37.299999
37.299999,38.150002,37.25,36560565,37.182522,38
38.099998,38.650002,37.900002,40922358,37.52499,38.349998
38.099998,39.049999,38.049999,46559579,37.916386,38.75
38.200001,39.099998,38.200001,43889477,37.965309,38.799999
38.799999,39.549999,38.650002,45764582,38.06316,38.900002
38.950001,40.75,38.900002,77487214,39.481964,40.349998
40.450001,40.599998,39.75,40117267,39.090572,39.950001
40.049999,40.450001,39.849998,27289110,39.139496,40
39.950001,40.650002,39.75,38374630,39.335194,40.200001
39.950001,40.349998,39.799999,28246979,39.28627,40.150002
40.049999,40.5,39.75,28509122,38.992722,39.849998
40,40.200001,39,44095230,38.258854,39.099998
38.849998,40.150002,38.75,44886428,39.139496,40
39.900002,40.450001,39.75,38841491,39.139496,40
39.549999,39.75,38.450001,48283808,37.965309,38.799999
38.799999,39.049999,37.299999,51367085,37.182522,38
37.900002,39.549999,37.599998,54401085,38.552402,39.400002
39,41.450001,38.799999,120678533,40.264755,41.150002
42.099998,42.400002,40.700001,116265760,39.971207,40.849998
41.099998,41.849998,40.849998,65358800,40.656151,41.549999
41.799999,42,40.299999,83578352,40.41153,41.299999
41.299999,43,41.200001,111715210,41.879257,42.799999
42.900002,43.349998,42.349998,85013403,41.683559,42.599998
42.5,42.900002,41.349998,57040478,40.607227,41.5
41.5,43,41.299999,94193766,40.802925,41.700001
41.900002,42.200001,40.549999,82898920,41.09647,42
42.099998,42.200001,41.299999,36405347,40.705074,41.599998
41.700001,41.799999,40.700001,34712483,39.922283,40.799999
40.599998,40.75,39.599998,38771131,38.894875,39.75
38.099998,38.400002,37,68821970,36.30188,37.099998
37.400002,38.549999,36.799999,53556498,37.573917,38.400002
38.799999,39.099998,38.450001,58312435,37.720688,38.549999
38.5,38.75,37.900002,37538172,37.231445,38.049999
37.849998,38.400002,37.599998,39630801,36.937897,37.75
37.549999,37.799999,37.200001,34670090,36.693275,37.5
36.799999,37.349998,36.5,37187228,36.399731,37.200001
37.200001,38,37.200001,36877066,36.546501,37.349998
35.950001,36.400002,31.75,189980575,31.311596,32
